revenue_id,deal_id,company_id,fee_type,amount_usd,currency,year,quarter,transaction_date,payment_status,service_line,client_repeat
RV0265,,CO0338,Valuation Fee,20600,INR,2022,Q2,2024-05-27,Overdue,Fundraising,1
RV0266,,CO0037,Retainer,26900,USD,2022,Q3,2021-06-27,Paid,Fundraising,1
RV0267,,CO0082,Retainer,33400,INR,2024,Q1,2022-07-31,Paid,Due Diligence,1
RV0268,,CO0012,Project Fee,25900,USD,2022,Q1,2023-06-16,Paid,Due Diligence,1
RV0269,,CO0004,Project Fee,67100,USD,2024,Q3,2023-02-21,Paid,Investor Matching,1
RV0270,,CO0495,Due Diligence Fee,8200,USD,2022,Q3,2023-03-21,Paid,Strategic Advisory,1
RV0271,,CO0043,Project Fee,34600,USD,2023,Q1,2024-09-15,Paid,Due Diligence,1
RV0272,,CO0411,Valuation Fee,20200,USD,2024,Q2,2021-03-05,Pending,M&A Advisory,0
RV0273,DL0055,CO0051,Success Fee,176500,USD,2021,Q1,2023-08-29,Paid,M&A Advisory,0
RV0274,,CO0261,Due Diligence Fee,32500,USD,2023,Q4,2021-11-17,Paid,M&A Advisory,1
RV0275,,CO0134,Project Fee,54100,USD,2024,Q4,2023-12-29,Paid,Fundraising,1
RV0276,,CO0461,Project Fee,78700,USD,2023,Q3,2022-03-27,Paid,Investor Matching,1
RV0277,DL0024,CO0087,Success Fee,116000,USD,2022,Q1,2021-10-07,Overdue,Fundraising,1
RV0278,,CO0362,Project Fee,65300,AED,2023,Q1,2023-03-12,Pending,M&A Advisory,1
RV0279,,CO0056,Due Diligence Fee,28300,USD,2024,Q4,2024-01-23,Paid,Due Diligence,1
RV0280,DL0085,CO0217,Success Fee,352500,AED,2024,Q1,2022-08-28,Paid,M&A Advisory,1
RV0281,,CO0366,Retainer,48400,AED,2021,Q3,2024-07-22,Paid,Due Diligence,1
RV0282,DL0253,CO0068,Success Fee,337500,USD,2021,Q3,2021-10-23,Paid,Investor Matching,1
RV0283,,CO0500,Valuation Fee,5800,USD,2022,Q4,2022-09-03,Paid,Strategic Advisory,1
RV0284,,CO0352,Retainer,14000,USD,2022,Q1,2024-10-19,Overdue,Due Diligence,1
RV0285,DL0072,CO0044,Success Fee,329800,USD,2022,Q1,2024-08-19,Paid,Fundraising,1
RV0286,DL0210,CO0143,Success Fee,60600,USD,2022,Q4,2023-02-04,Paid,M&A Advisory,1
RV0287,,CO0346,Project Fee,39000,USD,2022,Q2,2021-01-23,Pending,M&A Advisory,1
RV0288,DL0055,CO0042,Success Fee,674900,USD,2021,Q2,2024-02-08,Paid,M&A Advisory,1
RV0289,,CO0139,Retainer,13600,AED,2024,Q1,2024-02-11,Overdue,Due Diligence,0
RV0290,,CO0073,Valuation Fee,18500,USD,2021,Q3,2021-10-17,Paid,Investor Matching,0
RV0291,,CO0267,Due Diligence Fee,28100,AED,2022,Q2,2021-09-10,Overdue,Due Diligence,1
RV0292,DL0131,CO0194,Success Fee,236600,USD,2022,Q1,2021-03-27,Paid,Fundraising,1
RV0293,,CO0493,Valuation Fee,18900,AED,2024,Q2,2021-01-11,Paid,M&A Advisory,0
RV0294,,CO0155,Project Fee,41000,USD,2024,Q4,2024-03-18,Paid,Due Diligence,1
RV0295,DL0101,CO0246,Success Fee,146700,USD,2024,Q2,2024-05-06,Paid,M&A Advisory,0
RV0296,DL0097,CO0314,Success Fee,337700,INR,2021,Q2,2023-03-19,Paid,Fundraising,0
RV0297,DL0062,CO0218,Success Fee,491500,AED,2024,Q4,2024-01-06,Overdue,Strategic Advisory,1
RV0298,,CO0456,Due Diligence Fee,13300,USD,2023,Q3,2024-01-27,Pending,Strategic Advisory,1
RV0299,DL0202,CO0384,Success Fee,667900,USD,2022,Q1,2021-06-24,Paid,Strategic Advisory,0
RV0300,DL0111,CO0253,Success Fee,273700,AED,2023,Q3,2022-09-17,Paid,M&A Advisory,1
RV0301,,CO0277,Project Fee,36200,AED,2024,Q3,2022-03-07,Paid,Due Diligence,0
RV0302,,CO0277,Retainer,37800,USD,2024,Q2,2022-12-06,Paid,M&A Advisory,1
RV0303,,CO0072,Project Fee,63700,USD,2024,Q1,2022-03-10,Paid,Investor Matching,0
RV0304,,CO0129,Project Fee,40400,AED,2024,Q2,2023-04-26,Pending,Due Diligence,0
RV0305,DL0235,CO0358,Success Fee,716000,USD,2022,Q4,2024-08-15,Paid,Fundraising,1
RV0306,,CO0186,Due Diligence Fee,39900,AED,2023,Q3,2023-11-16,Paid,Strategic Advisory,1
RV0307,DL0098,CO0013,Success Fee,307000,USD,2021,Q3,2021-10-19,Paid,Due Diligence,0
RV0308,,CO0329,Retainer,45600,INR,2024,Q4,2021-11-26,Pending,Due Diligence,1
RV0309,,CO0220,Retainer,21200,AED,2022,Q1,2022-01-12,Paid,Strategic Advisory,0
RV0310,DL0174,CO0006,Success Fee,191300,AED,2024,Q3,2022-03-29,Paid,Fundraising,1
RV0311,,CO0239,Valuation Fee,24000,USD,2022,Q3,2024-06-17,Paid,M&A Advisory,0
RV0312,,CO0471,Retainer,46300,USD,2023,Q1,2022-06-02,Paid,M&A Advisory,1
RV0313,DL0056,CO0112,Success Fee,352500,USD,2021,Q2,2022-02-02,Paid,Due Diligence,1
RV0314,,CO0228,Valuation Fee,9600,AED,2022,Q4,2021-08-23,Paid,Strategic Advisory,1
RV0315,,CO0442,Retainer,37700,AED,2024,Q1,2022-01-07,Paid,Investor Matching,1
RV0316,,CO0017,Project Fee,21800,USD,2021,Q4,2024-10-06,Paid,Fundraising,1
RV0317,,CO0073,Retainer,38000,AED,2023,Q4,2024-03-07,Pending,M&A Advisory,1
RV0318,,CO0012,Due Diligence Fee,26900,AED,2021,Q3,2021-04-22,Paid,Fundraising,0
RV0319,DL0213,CO0086,Success Fee,176700,USD,2023,Q1,2024-01-30,Paid,Fundraising,1
RV0320,DL0024,CO0499,Success Fee,324900,USD,2022,Q4,2023-08-03,Paid,Fundraising,1
RV0321,,CO0180,Retainer,34300,AED,2022,Q2,2024-08-13,Paid,Strategic Advisory,1
RV0322,DL0064,CO0122,Success Fee,78000,USD,2024,Q4,2024-01-31,Paid,Strategic Advisory,1
RV0323,,CO0204,Project Fee,88900,AED,2023,Q3,2021-05-30,Paid,Strategic Advisory,0
RV0324,DL0231,CO0070,Success Fee,241800,USD,2022,Q2,2022-08-19,Paid,Due Diligence,1
RV0325,DL0235,CO0108,Success Fee,451100,INR,2023,Q2,2024-10-07,Pending,Strategic Advisory,1
RV0326,DL0259,CO0201,Success Fee,86400,USD,2021,Q1,2021-05-18,Overdue,Due Diligence,0
RV0327,,CO0052,Project Fee,99500,USD,2022,Q2,2022-05-29,Paid,M&A Advisory,1
RV0328,,CO0037,Due Diligence Fee,29200,USD,2023,Q1,2021-07-21,Paid,M&A Advisory,1
RV0329,DL0069,CO0117,Success Fee,540200,USD,2022,Q1,2022-02-09,Overdue,M&A Advisory,1
RV0330,,CO0259,Retainer,5900,USD,2024,Q2,2024-04-04,Paid,M&A Advisory,0
RV0331,DL0256,CO0482,Success Fee,567300,USD,2023,Q1,2023-09-25,Paid,M&A Advisory,1
RV0332,,CO0264,Retainer,23800,INR,2024,Q1,2022-11-09,Overdue,Strategic Advisory,0
RV0333,DL0003,CO0394,Success Fee,335200,INR,2024,Q2,2023-01-02,Overdue,Investor Matching,1
RV0334,,CO0303,Retainer,29600,USD,2021,Q3,2021-09-20,Paid,Strategic Advisory,1
RV0335,,CO0425,Retainer,26300,AED,2022,Q4,2024-10-06,Paid,Investor Matching,1
RV0336,,CO0064,Due Diligence Fee,12900,USD,2022,Q1,2024-09-04,Paid,Strategic Advisory,0
RV0337,DL0272,CO0042,Success Fee,571400,AED,2022,Q1,2022-04-26,Pending,M&A Advisory,1
RV0338,,CO0043,Project Fee,66700,AED,2024,Q2,2021-07-24,Pending,Fundraising,1
RV0339,,CO0125,Retainer,18600,USD,2024,Q4,2022-08-07,Paid,Investor Matching,0
RV0340,,CO0393,Valuation Fee,18200,AED,2023,Q4,2024-06-22,Pending,Fundraising,1
RV0341,DL0025,CO0270,Success Fee,546900,AED,2023,Q1,2021-05-23,Paid,M&A Advisory,1
RV0342,DL0284,CO0485,Success Fee,252500,USD,2021,Q2,2022-02-01,Paid,Investor Matching,1
RV0343,,CO0347,Due Diligence Fee,27400,INR,2023,Q3,2022-10-13,Pending,Fundraising,0
RV0344,DL0222,CO0233,Success Fee,152900,INR,2024,Q4,2023-09-23,Paid,Strategic Advisory,0
RV0345,DL0300,CO0480,Success Fee,673000,USD,2023,Q3,2023-07-12,Paid,M&A Advisory,1
RV0346,DL0248,CO0132,Success Fee,128700,AED,2022,Q2,2022-11-04,Paid,Strategic Advisory,1
RV0347,,CO0002,Due Diligence Fee,31000,INR,2024,Q3,2024-06-16,Paid,Strategic Advisory,0
RV0348,DL0261,CO0115,Success Fee,138300,USD,2023,Q2,2024-09-12,Paid,M&A Advisory,1
RV0349,,CO0481,Due Diligence Fee,11600,USD,2023,Q1,2022-09-19,Paid,Investor Matching,0
RV0350,,CO0469,Retainer,9800,USD,2023,Q3,2024-11-21,Pending,Due Diligence,1
RV0351,DL0091,CO0001,Success Fee,199000,AED,2023,Q1,2024-04-11,Paid,Due Diligence,1
RV0352,,CO0492,Retainer,14000,AED,2024,Q1,2021-11-09,Overdue,M&A Advisory,1
RV0353,DL0297,CO0331,Success Fee,247200,USD,2024,Q2,2024-03-04,Paid,Due Diligence,1
RV0354,,CO0065,Retainer,28500,INR,2021,Q3,2024-03-06,Paid,Fundraising,0
RV0355,,CO0430,Project Fee,28200,AED,2024,Q4,2023-01-17,Paid,Investor Matching,1
RV0356,,CO0443,Retainer,36700,AED,2023,Q3,2022-10-10,Pending,Strategic Advisory,1
RV0357,DL0089,CO0459,Success Fee,271500,USD,2024,Q4,2023-05-28,Paid,Strategic Advisory,1
RV0358,,CO0125,Project Fee,13500,USD,2024,Q1,2021-12-12,Paid,M&A Advisory,1
RV0359,,CO0256,Due Diligence Fee,23900,AED,2023,Q1,2021-01-10,Pending,Strategic Advisory,1
RV0360,,CO0391,Project Fee,28700,USD,2024,Q2,2022-10-04,Paid,Fundraising,0
RV0361,,CO0322,Due Diligence Fee,37900,AED,2022,Q4,2022-05-20,Overdue,Fundraising,1
RV0362,DL0066,CO0143,Success Fee,298000,AED,2022,Q3,2022-03-30,Pending,M&A Advisory,0
RV0363,,CO0328,Due Diligence Fee,8100,USD,2024,Q2,2024-12-29,Paid,Strategic Advisory,0
RV0364,DL0054,CO0246,Success Fee,553700,AED,2024,Q2,2024-08-05,Paid,Due Diligence,1
RV0365,DL0199,CO0116,Success Fee,730200,USD,2024,Q2,2023-06-13,Paid,Due Diligence,1
RV0366,,CO0377,Due Diligence Fee,34700,USD,2023,Q3,2022-07-21,Paid,Investor Matching,1
RV0367,,CO0303,Valuation Fee,18400,USD,2023,Q2,2023-01-07,Pending,M&A Advisory,0
RV0368,,CO0090,Project Fee,23400,USD,2022,Q3,2021-10-03,Overdue,Investor Matching,1
RV0369,DL0165,CO0296,Success Fee,117600,USD,2024,Q2,2024-10-23,Paid,Due Diligence,0
RV0370,DL0259,CO0042,Success Fee,433800,AED,2022,Q4,2022-11-11,Paid,Due Diligence,0
RV0371,,CO0435,Retainer,37600,AED,2024,Q1,2023-09-10,Paid,Due Diligence,0
RV0372,,CO0035,Due Diligence Fee,11200,USD,2023,Q4,2023-08-06,Paid,Investor Matching,1
RV0373,DL0197,CO0500,Success Fee,241900,AED,2023,Q4,2023-07-02,Paid,M&A Advisory,1
RV0374,,CO0494,Due Diligence Fee,15400,USD,2023,Q2,2023-01-05,Paid,Fundraising,0
RV0375,DL0215,CO0489,Success Fee,791500,USD,2024,Q4,2022-09-18,Paid,Fundraising,0
RV0376,,CO0041,Due Diligence Fee,17500,AED,2023,Q4,2023-09-25,Paid,Due Diligence,1
RV0377,,CO0341,Valuation Fee,14300,AED,2024,Q4,2024-02-04,Paid,M&A Advisory,1
RV0378,,CO0124,Retainer,9500,AED,2021,Q2,2021-08-11,Paid,M&A Advisory,1
RV0379,DL0128,CO0057,Success Fee,181000,USD,2023,Q3,2021-12-26,Pending,Strategic Advisory,0
RV0380,,CO0294,Due Diligence Fee,9300,AED,2024,Q1,2024-08-15,Paid,Strategic Advisory,0
RV0381,,CO0456,Retainer,18100,AED,2024,Q1,2024-05-27,Pending,Investor Matching,1
RV0382,,CO0235,Project Fee,82100,INR,2024,Q3,2021-06-17,Paid,Strategic Advisory,1
RV0383,,CO0096,Retainer,19100,USD,2021,Q3,2022-07-29,Pending,Investor Matching,1
RV0384,DL0141,CO0392,Success Fee,603900,USD,2021,Q4,2021-10-14,Pending,Fundraising,1
RV0385,,CO0492,Due Diligence Fee,11000,AED,2023,Q1,2024-01-09,Paid,Due Diligence,0
RV0386,DL0204,CO0458,Success Fee,618700,INR,2021,Q3,2022-02-07,Paid,M&A Advisory,1
RV0387,,CO0319,Valuation Fee,5900,USD,2024,Q4,2022-06-24,Overdue,Fundraising,1
RV0388,DL0176,CO0343,Success Fee,689000,USD,2022,Q1,2024-07-07,Paid,Fundraising,1
RV0389,,CO0132,Project Fee,69700,USD,2023,Q2,2021-06-06,Pending,Investor Matching,1
RV0390,DL0151,CO0176,Success Fee,177900,USD,2021,Q2,2021-06-04,Pending,Due Diligence,1
RV0391,DL0232,CO0052,Success Fee,318100,USD,2023,Q1,2021-02-08,Paid,Investor Matching,0
RV0392,DL0069,CO0038,Success Fee,378300,USD,2023,Q1,2023-11-05,Paid,Fundraising,0
RV0393,,CO0478,Project Fee,66000,USD,2021,Q2,2024-07-17,Paid,M&A Advisory,1
RV0394,,CO0489,Retainer,44500,USD,2022,Q2,2021-03-05,Overdue,Strategic Advisory,0
RV0395,,CO0343,Due Diligence Fee,11000,USD,2023,Q1,2024-04-06,Paid,Investor Matching,1
RV0396,DL0071,CO0005,Success Fee,661200,USD,2024,Q4,2024-03-31,Paid,Fundraising,1
RV0397,,CO0213,Project Fee,26500,USD,2022,Q3,2023-04-10,Paid,Strategic Advisory,1
RV0398,,CO0120,Project Fee,46100,INR,2023,Q3,2024-04-23,Paid,Strategic Advisory,0
RV0399,DL0212,CO0326,Success Fee,771700,USD,2024,Q1,2022-03-12,Paid,Fundraising,1
RV0400,,CO0369,Retainer,17200,AED,2024,Q3,2021-03-17,Paid,Due Diligence,0
